iter,cost
1,206817.944886
2,132295.203170
3,84684.166130
4,54216.504697
5,34716.804092
6,22235.875405
7,14246.953146
8,9133.061396
9,5859.348864
10,3763.492152
11,2421.581421
12,1562.293679
13,1011.964779
14,659.435278
15,433.551338
16,288.764842
17,195.917095
18,136.340064
19,98.080908
20,73.485473
21,57.651544
22,47.438786
23,40.834992
24,36.550385
25,33.757893
26,31.926864
27,30.716586
28,29.908105
29,29.360549
30,28.983147
31,28.717299
32,28.525085
33,28.381887
34,28.271665
35,28.183912
36,28.111707
37,28.050455
38,27.997077
39,27.949486
40,27.906253
41,27.866378
42,27.829156
43,27.794077
44,27.760766
45,27.728942
46,27.698390
47,27.668943
48,27.640468
49,27.612859
50,27.586027
51,27.559902
52,27.534423
53,27.509538
54,27.485206
55,27.461388
56,27.438054
57,27.415175
58,27.392726
59,27.370687
60,27.349039
61,27.327766
62,27.306851
63,27.286282
64,27.266048
65,27.246136
66,27.226537
67,27.207242
68,27.188243
69,27.169532
70,27.151101
71,27.132945
72,27.115057
73,27.097431
74,27.080062
75,27.062944
76,27.046073
77,27.029445
78,27.013053
79,26.996895
80,26.980967
81,26.965263
82,26.949781
83,26.934518
84,26.919468
85,26.904629
86,26.889999
87,26.875572
88,26.861347
89,26.847320
90,26.833488
91,26.819848
92,26.806398
93,26.793135
94,26.780055
95,26.767157
96,26.754437
97,26.741894
98,26.729524
99,26.717324
100,26.705294
101,26.693430
102,26.681729
103,26.670190
104,26.658810
105,26.647587
106,26.636519
107,26.625604
108,26.614839
109,26.604222
110,26.593752
111,26.583426
112,26.573242
113,26.563199
114,26.553293
115,26.543524
116,26.533890
117,26.524388
118,26.515017
119,26.505774
120,26.496659
121,26.487670
122,26.478804
123,26.470060
124,26.461436
125,26.452930
126,26.444542
127,26.436269
128,26.428110
129,26.420062
130,26.412126
131,26.404298
132,26.396578
133,26.388964
134,26.381454
135,26.374048
136,26.366744
137,26.359539
138,26.352434
139,26.345426
140,26.338514
141,26.331698
142,26.324974
143,26.318343
144,26.311804
145,26.305353
146,26.298992
147,26.292717
148,26.286529
149,26.280425
150,26.274405
151,26.268468
152,26.262612
153,26.256836
154,26.251140
155,26.245521
156,26.239980
157,26.234515
158,26.229124
159,26.223807
160,26.218563
161,26.213391
162,26.208290
163,26.203258
164,26.198296
165,26.193401
166,26.188573
167,26.183812
168,26.179115
169,26.174483
170,26.169915
171,26.165408
172,26.160964
173,26.156580
174,26.152256
175,26.147991
176,26.143784
177,26.139635
178,26.135543
179,26.131507
180,26.127525
181,26.123599
182,26.119725
183,26.115905
184,26.112137
185,26.108420
186,26.104754
187,26.101138
188,26.097571
189,26.094054
190,26.090584
191,26.087161
192,26.083785
193,26.080455
194,26.077171
195,26.073931
196,26.070735
197,26.067583
198,26.064474
199,26.061407
200,26.058383
201,26.055399
202,26.052456
203,26.049553
204,26.046689
205,26.043865
206,26.041078
207,26.038330
208,26.035619
209,26.032945
210,26.030308
211,26.027706
212,26.025140
213,26.022608
214,26.020111
215,26.017648
216,26.015218
217,26.012822
218,26.010457
219,26.008125
220,26.005825
221,26.003556
222,26.001317
223,25.999109
224,25.996931
225,25.994783
226,25.992663
227,25.990572
228,25.988510
229,25.986476
230,25.984469
231,25.982489
232,25.980536
233,25.978610
234,25.976709
235,25.974835
236,25.972985
237,25.971161
238,25.969361
239,25.967586
240,25.965835
241,25.964107
242,25.962403
243,25.960722
244,25.959063
245,25.957427
246,25.955813
247,25.954220
248,25.952649
249,25.951100
250,25.949571
251,25.948063
252,25.946575
253,25.945107
254,25.943659
255,25.942231
256,25.940821
257,25.939431
258,25.938060
259,25.936706
260,25.935371
261,25.934054
262,25.932755
263,25.931473
264,25.930209
265,25.928961
266,25.927730
267,25.926516
268,25.925318
269,25.924136
270,25.922970
271,25.921819
272,25.920684
273,25.919564
274,25.918459
275,25.917369
276,25.916294
277,25.915233
278,25.914186
279,25.913153
280,25.912134
281,25.911128
282,25.910136
283,25.909157
284,25.908192
285,25.907239
286,25.906299
287,25.905371
288,25.904456
289,25.903553
290,25.902662
291,25.901783
292,25.900915
293,25.900059
294,25.899215
295,25.898382
296,25.897560
297,25.896748
298,25.895948
299,25.895158
300,25.894379
301,25.893610
302,25.892851
303,25.892102
304,25.891363
305,25.890634
306,25.889915
307,25.889205
308,25.888505
309,25.887813
310,25.887131
311,25.886458
312,25.885794
313,25.885139
314,25.884492
315,25.883854
316,25.883224
317,25.882603
318,25.881990
319,25.881384
320,25.880787
321,25.880198
322,25.879616
323,25.879042
324,25.878476
325,25.877917
326,25.877365
327,25.876821
328,25.876283
329,25.875753
330,25.875230
331,25.874714
332,25.874204
333,25.873701
334,25.873204
335,25.872715
336,25.872231
337,25.871754
338,25.871283
339,25.870818
340,25.870359
341,25.869906
342,25.869459
343,25.869018
344,25.868583
345,25.868153
346,25.867729
347,25.867311
348,25.866898
349,25.866490
350,25.866087
351,25.865690
352,25.865298
353,25.864911
354,25.864529
355,25.864151
356,25.863779
357,25.863412
358,25.863049
359,25.862691
360,25.862337
361,25.861989
362,25.861644
363,25.861304
364,25.860969
365,25.860637
366,25.860310
367,25.859988
368,25.859669
369,25.859354
370,25.859044
371,25.858737
372,25.858434
373,25.858136
374,25.857840
375,25.857549
376,25.857262
377,25.856978
378,25.856698
379,25.856421
380,25.856148
381,25.855878
382,25.855612
383,25.855349
384,25.855089
385,25.854833
386,25.854580
387,25.854330
388,25.854083
389,25.853840
390,25.853599
391,25.853362
392,25.853127
393,25.852896
394,25.852667
395,25.852441
396,25.852218
397,25.851998
398,25.851781
399,25.851566
400,25.851354
401,25.851145
402,25.850938
403,25.850734
404,25.850532
405,25.850333
406,25.850137
407,25.849943
408,25.849751
409,25.849561
410,25.849374
411,25.849190
412,25.849007
413,25.848827
414,25.848649
415,25.848473
416,25.848300
417,25.848128
418,25.847959
419,25.847792
420,25.847626
421,25.847463
422,25.847302
423,25.847143
424,25.846986
425,25.846830
426,25.846677
427,25.846525
428,25.846375
429,25.846227
430,25.846081
431,25.845937
432,25.845794
433,25.845653
434,25.845514
435,25.845377
436,25.845241
437,25.845107
438,25.844974
439,25.844843
440,25.844713
441,25.844586
442,25.844459
443,25.844334
444,25.844211
445,25.844089
446,25.843969
447,25.843850
448,25.843732
449,25.843616
450,25.843501
451,25.843387
452,25.843275
453,25.843164
454,25.843055
455,25.842947
456,25.842840
457,25.842734
458,25.842630
459,25.842526
460,25.842424
461,25.842324
462,25.842224
463,25.842125
464,25.842028
465,25.841932
466,25.841837
467,25.841743
468,25.841650
469,25.841558
470,25.841467
471,25.841377
472,25.841288
473,25.841201
474,25.841114
475,25.841028
476,25.840944
477,25.840860
478,25.840777
479,25.840695
480,25.840614
481,25.840534
482,25.840455
483,25.840377
484,25.840299
485,25.840223
486,25.840147
487,25.840072
488,25.839998
489,25.839925
490,25.839853
491,25.839781
492,25.839711
493,25.839641
494,25.839571
495,25.839503
496,25.839435
497,25.839369
498,25.839302
499,25.839237
500,25.839172
501,25.839108
502,25.839045
503,25.838982
504,25.838920
505,25.838859
506,25.838798
507,25.838738
508,25.838679
509,25.838620
510,25.838562
511,25.838505
512,25.838448
513,25.838392
514,25.838336
515,25.838281
516,25.838226
517,25.838173
518,25.838119
519,25.838066
520,25.838014
521,25.837963
522,25.837911
523,25.837861
524,25.837811
525,25.837761
526,25.837712
527,25.837664
528,25.837616
529,25.837568
530,25.837521
531,25.837475
532,25.837428
533,25.837383
534,25.837338
535,25.837293
536,25.837249
537,25.837205
538,25.837162
539,25.837119
540,25.837076
541,25.837034
542,25.836992
543,25.836951
544,25.836910
545,25.836870
546,25.836830
547,25.836790
548,25.836751
549,25.836712
550,25.836674
551,25.836636
552,25.836598
553,25.836560
554,25.836523
555,25.836487
556,25.836450
557,25.836414
558,25.836379
559,25.836344
560,25.836309
561,25.836274
562,25.836240
563,25.836206
564,25.836172
565,25.836139
566,25.836106
567,25.836073
568,25.836041
569,25.836009
570,25.835977
571,25.835945
572,25.835914
573,25.835883
574,25.835852
575,25.835822
576,25.835792
577,25.835762
578,25.835732
579,25.835703
580,25.835674
581,25.835645
582,25.835617
583,25.835589
584,25.835560
585,25.835533
586,25.835505
587,25.835478
588,25.835451
589,25.835424
590,25.835397
