degree,split,r2,rmse,mse
1,train,0.898452,5.431473,29.500894
1,val,0.893865,5.577728,31.111053
2,train,0.906325,5.216675,27.213703
2,val,0.902378,5.349374,28.615799
3,train,0.911006,5.084677,25.853937
3,val,0.907646,5.203024,27.071460
4,train,0.911021,5.084236,25.849452
4,val,0.907676,5.202178,27.062654
5,train,0.911039,5.083722,25.844225
5,val,0.907691,5.201768,27.058390
8,train,0.911146,5.080687,25.813381
8,val,0.907755,5.199947,27.039450
12,train,0.911248,5.077758,25.783629
12,val,0.907707,5.201306,27.053589
8,test,0.918770,4.860360,23.623100
