cylinders,displacement,horsepower,weight,acceleration,model_year,origin_Asia,origin_Europe,origin_USA,weight_per_hp,displacement_per_cylinder
8,307.0,130.0,3504.0,12.0,70,0,0,1,26.953846153846154,38.375
8,350.0,165.0,3693.0,11.5,70,0,0,1,22.381818181818183,43.75
8,318.0,150.0,3436.0,11.0,70,0,0,1,22.906666666666666,39.75
8,304.0,150.0,3433.0,12.0,70,0,0,1,22.886666666666667,38.0
8,302.0,140.0,3449.0,10.5,70,0,0,1,24.635714285714286,37.75
8,429.0,198.0,4341.0,10.0,70,0,0,1,21.924242424242426,53.625
8,454.0,220.0,4354.0,9.0,70,0,0,1,19.79090909090909,56.75
8,440.0,215.0,4312.0,8.5,70,0,0,1,20.05581395348837,55.0
8,455.0,225.0,4425.0,10.0,70,0,0,1,19.666666666666668,56.875
8,390.0,190.0,3850.0,8.5,70,0,0,1,20.263157894736842,48.75
8,383.0,170.0,3563.0,10.0,70,0,0,1,20.958823529411763,47.875
8,340.0,160.0,3609.0,8.0,70,0,0,1,22.55625,42.5
8,400.0,150.0,3761.0,9.5,70,0,0,1,25.073333333333334,50.0
8,455.0,225.0,3086.0,10.0,70,0,0,1,13.715555555555556,56.875
4,113.0,95.0,2372.0,15.0,70,1,0,0,24.96842105263158,28.25
6,198.0,95.0,2833.0,15.5,70,0,0,1,29.821052631578947,33.0
6,199.0,97.0,2774.0,15.5,70,0,0,1,28.5979381443299,33.166666666666664
6,200.0,85.0,2587.0,16.0,70,0,0,1,30.435294117647057,33.333333333333336
4,97.0,88.0,2130.0,14.5,70,1,0,0,24.204545454545453,24.25
4,97.0,46.0,1835.0,20.5,70,0,1,0,39.891304347826086,24.25
4,110.0,87.0,2672.0,17.5,70,0,1,0,30.71264367816092,27.5
4,107.0,90.0,2430.0,14.5,70,0,1,0,27.0,26.75
4,104.0,95.0,2375.0,17.5,70,0,1,0,25.0,26.0
4,121.0,113.0,2234.0,12.5,70,0,1,0,19.76991150442478,30.25
6,199.0,90.0,2648.0,15.0,70,0,0,1,29.42222222222222,33.166666666666664
8,360.0,215.0,4615.0,14.0,70,0,0,1,21.46511627906977,45.0
8,307.0,200.0,4376.0,15.0,70,0,0,1,21.88,38.375
8,318.0,210.0,4382.0,13.5,70,0,0,1,20.866666666666667,39.75
8,304.0,193.0,4732.0,18.5,70,0,0,1,24.518134715025905,38.0
4,97.0,88.0,2130.0,14.5,71,1,0,0,24.204545454545453,24.25
4,140.0,90.0,2264.0,15.5,71,0,0,1,25.155555555555555,35.0
4,113.0,95.0,2228.0,14.0,71,1,0,0,23.45263157894737,28.25
4,98.0,93.5,2046.0,19.0,71,0,0,1,21.88235294117647,24.5
6,232.0,100.0,2634.0,13.0,71,0,0,1,26.34,38.666666666666664
6,225.0,105.0,3439.0,15.5,71,0,0,1,32.75238095238095,37.5
6,250.0,100.0,3329.0,15.5,71,0,0,1,33.29,41.666666666666664
6,250.0,88.0,3302.0,15.5,71,0,0,1,37.52272727272727,41.666666666666664
6,232.0,100.0,3288.0,15.5,71,0,0,1,32.88,38.666666666666664
8,350.0,165.0,4209.0,12.0,71,0,0,1,25.509090909090908,43.75
8,400.0,175.0,4464.0,11.5,71,0,0,1,25.50857142857143,50.0
8,351.0,153.0,4154.0,13.5,71,0,0,1,27.15032679738562,43.875
8,318.0,150.0,4096.0,13.0,71,0,0,1,27.30666666666667,39.75
8,383.0,180.0,4955.0,11.5,71,0,0,1,27.52777777777778,47.875
8,400.0,170.0,4746.0,12.0,71,0,0,1,27.91764705882353,50.0
8,400.0,175.0,5140.0,12.0,71,0,0,1,29.37142857142857,50.0
6,258.0,110.0,2962.0,13.5,71,0,0,1,26.927272727272726,43.0
4,140.0,72.0,2408.0,19.0,71,0,0,1,33.44444444444444,35.0
6,250.0,100.0,3282.0,15.0,71,0,0,1,32.82,41.666666666666664
6,250.0,88.0,3139.0,14.5,71,0,0,1,35.67045454545455,41.666666666666664
4,122.0,86.0,2220.0,14.0,71,0,0,1,25.813953488372093,30.5
4,116.0,90.0,2123.0,14.0,71,0,1,0,23.58888888888889,29.0
4,79.0,70.0,2074.0,19.5,71,0,1,0,29.62857142857143,19.75
4,88.0,76.0,2065.0,14.5,71,0,1,0,27.17105263157895,22.0
4,71.0,65.0,1773.0,19.0,71,1,0,0,27.276923076923076,17.75
4,72.0,69.0,1613.0,18.0,71,1,0,0,23.3768115942029,18.0
4,97.0,60.0,1834.0,19.0,71,0,1,0,30.566666666666666,24.25
4,91.0,70.0,1955.0,20.5,71,0,0,1,27.928571428571427,22.75
4,113.0,95.0,2278.0,15.5,72,1,0,0,23.978947368421053,28.25
4,97.5,80.0,2126.0,17.0,72,0,0,1,26.575,24.375
4,97.0,54.0,2254.0,23.5,72,0,1,0,41.74074074074074,24.25
4,140.0,90.0,2408.0,19.5,72,0,0,1,26.755555555555556,35.0
4,122.0,86.0,2226.0,16.5,72,0,0,1,25.88372093023256,30.5
8,350.0,165.0,4274.0,12.0,72,0,0,1,25.903030303030302,43.75
8,400.0,175.0,4385.0,12.0,72,0,0,1,25.057142857142857,50.0
8,318.0,150.0,4135.0,13.5,72,0,0,1,27.566666666666666,39.75
8,351.0,153.0,4129.0,13.0,72,0,0,1,26.986928104575163,43.875
8,304.0,150.0,3672.0,11.5,72,0,0,1,24.48,38.0
8,429.0,208.0,4633.0,11.0,72,0,0,1,22.27403846153846,53.625
8,350.0,155.0,4502.0,13.5,72,0,0,1,29.045161290322582,43.75
8,350.0,160.0,4456.0,13.5,72,0,0,1,27.85,43.75
8,400.0,190.0,4422.0,12.5,72,0,0,1,23.273684210526316,50.0
3,70.0,97.0,2330.0,13.5,72,1,0,0,24.02061855670103,23.333333333333332
8,304.0,150.0,3892.0,12.5,72,0,0,1,25.946666666666665,38.0
8,307.0,130.0,4098.0,14.0,72,0,0,1,31.523076923076925,38.375
8,302.0,140.0,4294.0,16.0,72,0,0,1,30.67142857142857,37.75
8,318.0,150.0,4077.0,14.0,72,0,0,1,27.18,39.75
4,121.0,112.0,2933.0,14.5,72,0,1,0,26.1875,30.25
4,121.0,76.0,2511.0,18.0,72,0,1,0,33.03947368421053,30.25
4,120.0,87.0,2979.0,19.5,72,0,1,0,34.241379310344826,30.0
4,96.0,69.0,2189.0,18.0,72,0,1,0,31.72463768115942,24.0
4,122.0,86.0,2395.0,16.0,72,0,0,1,27.848837209302324,30.5
4,97.0,92.0,2288.0,17.0,72,1,0,0,24.869565217391305,24.25
4,120.0,97.0,2506.0,14.5,72,1,0,0,25.835051546391753,30.0
4,98.0,80.0,2164.0,15.0,72,0,0,1,27.05,24.5
4,97.0,88.0,2100.0,16.5,72,1,0,0,23.863636363636363,24.25
8,350.0,175.0,4100.0,13.0,73,0,0,1,23.428571428571427,43.75
8,304.0,150.0,3672.0,11.5,73,0,0,1,24.48,38.0
8,350.0,145.0,3988.0,13.0,73,0,0,1,27.50344827586207,43.75
8,302.0,137.0,4042.0,14.5,73,0,0,1,29.503649635036496,37.75
8,318.0,150.0,3777.0,12.5,73,0,0,1,25.18,39.75
8,429.0,198.0,4952.0,11.5,73,0,0,1,25.01010101010101,53.625
8,400.0,150.0,4464.0,12.0,73,0,0,1,29.76,50.0
8,351.0,158.0,4363.0,13.0,73,0,0,1,27.61392405063291,43.875
8,318.0,150.0,4237.0,14.5,73,0,0,1,28.246666666666666,39.75
8,440.0,215.0,4735.0,11.0,73,0,0,1,22.023255813953487,55.0
8,455.0,225.0,4951.0,11.0,73,0,0,1,22.004444444444445,56.875
8,360.0,175.0,3821.0,11.0,73,0,0,1,21.834285714285713,45.0
6,225.0,105.0,3121.0,16.5,73,0,0,1,29.723809523809525,37.5
6,250.0,100.0,3278.0,18.0,73,0,0,1,32.78,41.666666666666664
6,232.0,100.0,2945.0,16.0,73,0,0,1,29.45,38.666666666666664
6,250.0,88.0,3021.0,16.5,73,0,0,1,34.32954545454545,41.666666666666664
6,198.0,95.0,2904.0,16.0,73,0,0,1,30.568421052631578,33.0
4,97.0,46.0,1950.0,21.0,73,0,1,0,42.391304347826086,24.25
