cylinders,displacement,horsepower,weight,acceleration,model_year,origin_Asia,origin_Europe,origin_USA,weight_per_hp,displacement_per_cylinder
8,350.0,145.0,4440.0,14.0,75,0,0,1,30.620689655172413,43.75
4,140.0,72.0,2401.0,19.5,73,0,0,1,33.34722222222222,35.0
6,200.0,85.0,2587.0,16.0,70,0,0,1,30.435294117647057,33.333333333333336
6,200.0,95.0,3155.0,18.2,78,0,0,1,33.21052631578947,33.333333333333336
6,199.0,90.0,2648.0,15.0,70,0,0,1,29.42222222222222,33.166666666666664
6,168.0,116.0,2900.0,12.6,81,1,0,0,25.0,28.0
4,91.0,68.0,1985.0,16.0,81,1,0,0,29.19117647058824,22.75
4,151.0,90.0,2950.0,17.3,82,0,0,1,32.77777777777778,37.75
4,98.0,70.0,2125.0,17.3,82,0,0,1,30.357142857142858,24.5
4,120.0,74.0,2635.0,18.3,81,1,0,0,35.608108108108105,30.0
4,89.0,60.0,1968.0,18.8,80,1,0,0,32.8,22.25
4,83.0,61.0,2003.0,19.0,74,1,0,0,32.83606557377049,20.75
4,85.0,65.0,2110.0,19.2,80,1,0,0,32.46153846153846,21.25
6,232.0,90.0,3211.0,17.0,75,0,0,1,35.67777777777778,38.66666666666666
4,114.0,91.0,2582.0,14.0,73,0,1,0,28.37362637362637,28.5
6,250.0,105.0,3353.0,14.5,76,0,0,1,31.933333333333334,41.66666666666666
6,258.0,95.0,3193.0,17.8,76,0,0,1,33.61052631578947,43.0
4,81.0,60.0,1760.0,16.1,81,1,0,0,29.33333333333333,20.25
4,98.0,63.0,2051.0,17.0,77,0,0,1,32.55555555555556,24.5
4,107.0,75.0,2210.0,14.4,81,1,0,0,29.466666666666665,26.75
6,250.0,88.0,3302.0,15.5,71,0,0,1,37.52272727272727,41.66666666666666
8,302.0,140.0,4638.0,16.0,74,0,0,1,33.128571428571426,37.75
8,351.0,142.0,4054.0,14.3,79,0,0,1,28.549295774647888,43.875
6,250.0,72.0,3158.0,19.5,75,0,0,1,43.86111111111112,41.66666666666666
6,232.0,90.0,3085.0,17.6,76,0,0,1,34.27777777777778,38.66666666666666
4,85.0,52.0,2035.0,22.2,76,0,0,1,39.13461538461539,21.25
4,97.0,54.0,2254.0,23.5,72,0,1,0,41.74074074074074,24.25
3,70.0,90.0,2124.0,13.5,73,1,0,0,23.6,23.33333333333333
4,122.0,96.0,2300.0,15.5,77,0,0,1,23.95833333333333,30.5
4,119.0,97.0,2545.0,17.0,75,1,0,0,26.23711340206185,29.75
8,454.0,220.0,4354.0,9.0,70,0,0,1,19.79090909090909,56.75
8,351.0,138.0,3955.0,13.2,79,0,0,1,28.659420289855078,43.875
5,131.0,103.0,2830.0,15.9,78,0,1,0,27.475728155339805,26.2
4,108.0,93.0,2391.0,15.5,74,1,0,0,25.70967741935484,27.0
